hsa.miR.19b.3p,hsa.miR.1273h.3p,hsa.miR.4433a.3p,hsa.miR.485.3p,hsa.let.7b.5p,hsa.miR.134.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.17.5p,hsa.miR.1304.3p,hsa.miR.30d.5p,hsa.miR.20b.5p,hsa.miR.421,hsa.miR.4433b.5p,hsa.miR.320b,hsa.miR.375.3p,hsa.miR.500a.3p,hsa.miR.139.3p,hsa.miR.493.5p,Class
9.011698431,4.762485245,9.427807372,9.513316059,15.30042664,8.926910273,3.665441631,9.146880787,7.857539514,3.098077946,11.83556042,7.555522027,5.095979096,9.427807372,9.618386485,7.567322889,4.603276573,8.059152246,6.553463414,Case
9.378820196,4.16647778,6.912758045,5.968894234,14.59445043,7.023246617,3.856819652,8.501464731,6.573844149,4.024820793,12.19203461,6.801594527,6.017215577,6.912758045,9.636727902,8.702837852,5.24778714,7.53393319,3.440565526,Case
10.63462439,3.842678367,5.936595456,6.360081855,15.40730135,5.9956021,4.72944272,10.27474656,8.077827403,2.682729111,13.36571917,9.533712548,6.808165961,5.936595456,8.868725989,7.292340218,5.874781814,6.914666303,3.387968732,Case
10.73225983,4.053273721,8.074867141,7.106781111,14.64213338,6.444834295,5.773707692,9.827378138,7.62854815,4.535718505,12.09474221,8.779055709,5.990295836,8.074867141,8.871833475,7.594371141,4.976920604,8.429237088,2.406846996,Case
11.2698118,2.607404149,6.47165907,5.705041892,15.68373875,7.811827126,6.524899758,9.057382139,7.485445564,4.7727018,12.83715162,9.386709546,7.130144198,6.47165907,9.753489719,5.707217508,5.833952792,7.269225156,3.201971173,Case
8.508078773,6.027916044,8.790450897,9.382702798,15.30652797,9.896570984,3.198785793,8.975780993,8.359520691,4.386870942,11.3092376,7.145191016,4.142829456,8.790450897,9.962994539,8.906249305,4.910348795,8.39530593,6.158918204,Case
9.851298101,4.330409547,7.391304051,8.381717458,15.09542519,8.654857343,5.072614969,8.818053251,7.744972277,4.620666181,12.04742968,8.318604346,6.249871991,7.391304051,8.377824843,7.071867779,4.394513835,7.734930333,4.92603707,Case
7.821508206,5.70058023,10.40773392,9.210586959,15.16646891,8.686394527,2.061890102,7.406224588,7.273757919,4.421761831,12.63703375,6.002832513,5.888283726,10.40773392,12.00746228,13.14777769,3.532923154,8.816011675,4.727268767,Case
9.512689676,7.152961429,9.792849452,8.696092462,14.33454285,7.468834486,0.052466278,8.525969073,6.625907873,6.81702796,12.01296809,6.874131002,5.23967567,9.792849452,9.329837745,5.873670613,5.93799235,5.700827989,-1.597813409,Case
9.585982544,4.718081597,7.785616749,7.501005178,15.20722981,5.551827577,3.895574595,8.95100571,8.402018744,3.303750475,11.56228435,7.884344874,5.395259677,7.785616749,10.0340293,9.821051004,3.523712709,8.11773237,3.033035872,Case
8.969524087,5.661179022,9.787699922,8.628778932,14.86416716,7.690953595,3.003362961,8.477883199,7.2407776,4.94215253,11.82594222,6.684100176,5.889661576,9.787699922,10.31058463,8.547904408,5.273111653,9.699162151,4.43873216,Case
9.862243354,2.645368671,9.360463169,7.519496841,14.4046236,6.453722466,4.345059058,8.765951995,6.578044838,3.883558653,12.31340682,8.014726419,6.833260367,9.360463169,9.610260227,9.051414953,4.687119629,8.232790004,2.565621951,Case
9.604408055,5.064873911,8.482636903,8.86262629,15.11650138,8.395875292,4.74631007,8.175238519,7.949986162,4.259506788,12.39575308,7.933958571,5.83442152,8.482636903,9.442029503,7.922248383,4.943268228,7.555277732,4.836787753,Case
8.837732052,7.087030871,7.478193075,10.92611832,14.76194755,10.50544729,3.161948266,8.479948246,7.320270595,4.816646718,11.44452925,6.7887031,5.005066039,7.478193075,9.135513466,8.173689976,3.382405128,8.566267189,7.613638838,Case
8.955181674,5.79615492,8.237636458,8.535955869,14.94685027,8.369194556,3.270033099,7.428919688,7.709290565,2.124404734,11.52991977,6.513938189,4.311669677,8.237636458,10.36290864,9.519240368,4.878259466,8.261373878,5.645096749,Case
8.803883985,5.613609449,10.16258134,7.688943229,14.50593465,7.004423421,1.776971836,8.291773462,6.696524299,6.021096866,11.33044844,6.619592728,5.753192359,10.16258134,9.630224542,8.626509714,4.448215398,9.057412243,2.044170917,Case
9.705289126,4.607319496,9.922902069,9.925317167,14.58003405,9.320518605,3.926389162,8.450889669,6.45856093,5.718600965,12.58574928,7.305351325,6.262529435,9.922902069,9.590571306,7.914402786,4.637152436,8.23301622,5.748567398,Case
10.4049958,-0.235099153,7.25176268,6.064475766,14.29788917,3.117980311,5.968413307,9.429531692,7.96017693,1.592533799,11.66200691,8.416523308,6.344805546,7.25176268,9.290795092,7.98295152,-1.601797932,7.4681358,-3.126324125,Case
9.826642421,5.66865174,7.41782116,8.392708813,14.99143165,7.687735247,4.459956284,8.928034924,8.251356452,4.92578699,12.05869893,8.112264818,5.715671747,7.41782116,9.62075775,10.72238403,3.978602618,8.132011696,5.359151735,Case
9.693903147,6.531382729,9.755895759,8.359224723,15.45599629,7.160160896,5.358010141,8.451769645,8.411228639,3.391906532,11.92063275,8.503436401,5.604572823,9.755895759,9.579525899,8.713659918,4.131272891,8.710173873,-3.410716428,Case
9.473082328,6.189924036,8.932674133,7.703268384,14.24907058,7.706661578,2.774482249,8.440745536,6.81094036,4.906578868,13.32031086,8.862905215,7.503143095,8.932674133,8.720339783,8.086992968,5.881609305,7.76057666,4.188149423,Case
8.795928692,5.856616276,9.793596064,10.15898544,14.22616044,9.833760718,3.211543366,7.922388406,7.07960421,4.659666935,11.30510124,6.978813673,5.602394307,9.793596064,9.001440257,7.590572333,3.998583833,8.660645615,6.709203069,Case
9.672357991,4.096453449,6.765038411,7.305633255,14.93662667,8.070050503,5.368692392,8.662013401,7.614806612,2.060987733,12.04113334,7.455735826,5.301678064,6.765038411,9.530638716,7.743588034,3.923704173,7.24201756,3.984727541,Case
9.547808329,4.251866031,6.562506033,6.985192195,15.01354173,6.294427322,5.011876474,8.879097605,7.865067399,4.237655368,11.9580148,8.888074297,6.678479893,6.562506033,9.886684477,9.533375923,4.287818184,7.168859267,2.987274136,Case
9.840396557,3.837327265,5.929829758,5.920472486,15.36871556,4.718215202,5.359153375,9.674325979,7.745942581,3.713935742,12.61168669,8.525802729,6.592380459,5.929829758,10.34010336,8.54223612,4.58728027,7.503140342,0.346166957,Case
8.5684299,3.004708922,9.795920547,9.348717723,14.57798006,8.729921075,1.839297989,7.950631449,6.677240756,4.351621026,11.75259723,6.836098174,5.571491405,9.795920547,10.10549689,9.396188523,5.363527754,9.525553181,5.146866328,Case
9.679103306,6.039247071,8.126184841,9.432251253,13.82091769,9.166255929,2.659988867,7.132752234,6.70607676,6.491100975,12.21360962,6.022232098,6.246817653,8.126184841,10.01808487,7.44192197,4.130759888,8.452834834,5.661629768,Case
9.046005948,5.265573532,6.825309597,10.34127914,14.8278381,9.082214929,3.02525084,8.250366102,7.398940827,5.666486329,12.12703374,7.475346052,5.573049481,6.825309597,10.46971333,11.72878338,4.477423749,8.851566736,5.03835234,Case
11.28065921,5.47745603,7.383600776,6.368465264,16.29504317,4.520247447,7.402413015,11.38720337,9.582912449,3.915671139,13.5904097,10.79616395,7.790858271,7.383600776,8.955812218,5.90427918,5.509074949,6.429239431,3.701936255,Case
9.87328476,4.430684009,7.603674916,8.493889786,14.5781353,6.89153105,3.713540292,9.089821212,7.0037043,2.807795126,12.68041038,8.490437277,6.261778408,7.603674916,9.551485721,9.762777209,5.428634106,7.987155738,4.188021975,Case
10.14803851,5.31250204,6.672078105,8.666874167,15.32173506,8.001571608,4.869115803,8.970393993,8.313183442,2.729169415,12.35046279,8.460058709,6.817791726,6.672078105,9.344829059,7.868908721,4.994942392,7.802204408,5.069412988,Case
10.68262071,2.913217666,6.668890511,7.114705023,15.3998112,6.94002397,6.348170967,10.71136879,8.404934637,3.176909119,12.79735543,9.647519683,6.750557963,6.668890511,8.357859751,5.516307913,5.607163207,6.505076426,-2.145982416,Case
9.502128223,5.075296597,8.473256759,9.014938217,14.91913591,8.21361306,5.171129326,8.431242803,8.152475077,3.204288192,12.00970758,8.08774583,5.969483365,8.473256759,10.04680136,9.645208138,5.06151119,7.892007958,4.933132405,Case
9.720456326,3.513558865,8.218216005,9.105443654,14.91666794,7.606950889,5.539395048,9.122790299,7.791681761,3.027836081,11.99420029,7.988611163,5.239900852,8.218216005,10.08799614,9.133818646,5.404274686,7.830345898,4.876276127,Case
9.999359713,4.207784812,8.542202335,8.981991244,14.47223327,8.213311836,4.714894187,8.843446873,6.631154841,5.127698211,12.24744509,7.611506372,6.543796716,8.542202335,9.698546362,5.820841171,4.38807977,7.916046112,4.811656122,Case
10.05241037,4.857564819,8.919384644,8.010414919,15.50085536,7.677047505,4.984723539,9.894351441,8.191879253,4.595239816,12.26101891,8.602903058,5.923465135,8.919384644,9.46845732,8.690536727,4.309173049,8.659136922,4.194684948,Case
10.15634066,5.641906016,6.773080888,6.082570166,14.71633914,5.374081309,4.751297132,8.404887495,8.036015692,4.668417249,12.21129404,9.010785622,6.748277053,6.773080888,9.444072635,8.033880307,4.408696098,8.125117648,1.126611153,Case
10.27582433,5.179257015,6.245448077,6.706217983,15.07632891,6.218440102,5.248366474,9.480981241,7.435540082,4.808645991,12.42977925,8.68312051,6.17238003,6.245448077,9.697319048,10.20533694,4.452560307,8.292769534,2.287018062,Case
9.910447106,5.679831466,8.464988154,9.682627723,14.68960524,8.689182632,3.637433876,8.979227403,7.485558965,5.559983232,11.95998475,8.215164735,6.069693482,8.464988154,8.719806601,7.040157661,4.32091341,7.676014603,5.995213215,Case
7.565601519,5.770646915,9.942862445,10.77250915,15.07068205,9.768093442,1.077881461,7.73290903,7.59533985,3.58658029,11.91974163,5.805333513,5.62520097,9.942862445,10.03677244,10.37599435,2.645493598,9.079286512,5.52552094,Case
11.38312986,2.703613754,2.685665308,3.014569585,16.3292748,3.228574806,6.844182566,11.21006563,9.52910663,2.438326928,13.88039545,9.845778628,6.841246446,2.685665308,7.879548411,2.524682285,5.996353967,4.449762644,-0.264414185,Case
9.647887712,2.79344829,9.636082068,8.82132616,14.25538379,9.45776634,2.287407743,7.86022677,6.723500882,4.718994721,12.05590315,6.969590526,6.114455537,9.636082068,9.252558554,8.603550517,4.720975593,8.124842137,5.592449997,Case
11.73911227,1.558010645,4.037746579,4.162061053,15.29805622,2.925027463,8.994322618,11.39363967,10.07130192,0.106556936,12.72647646,10.23673608,7.155182767,4.037746579,8.283303749,4.774564793,5.120925398,6.14184278,-0.480647183,Case
8.957573509,4.839173389,8.63251375,8.886647205,12.92956113,7.161126221,1.258556456,7.135339213,5.90007336,4.645678768,11.90611682,5.815293441,5.136640259,8.63251375,10.34403845,8.462324834,4.855438263,7.918495345,4.903022349,Case
9.280502245,5.573031464,8.61716358,8.871102883,14.32051903,9.255744733,2.726483119,8.59054696,6.788226911,6.628806296,11.53111483,7.43342238,5.750022852,8.61716358,8.911161697,7.723459005,3.678324385,8.767720952,4.190649079,Case
8.540491457,7.219342196,8.234855928,9.341297495,15.00116502,8.74296187,2.033791276,7.946370547,7.539959508,4.639553161,11.9111952,7.310601123,5.771785972,8.234855928,9.783980486,9.114386933,4.105085488,8.742610213,5.401120038,Case
7.920649166,5.166502537,6.562840038,8.060365527,15.25292335,9.601564416,3.156733143,8.200622706,9.621434517,-4.034991989,11.56966359,5.888759379,5.640054458,6.562840038,10.70367637,9.194338054,-1.427092843,6.425927484,4.532291817,Case
10.28477001,0.345721325,6.331431025,5.152530265,15.17720556,6.558851981,4.610728795,9.222656639,7.773219371,3.441571283,12.31513792,8.862042915,6.532165131,6.331431025,9.344479963,9.337105242,5.443931006,8.450355252,2.074582927,Case
10.14145131,6.319880761,7.853164167,8.125267381,15.62113899,6.615958103,6.655208276,10.44817206,9.42444981,3.560129826,11.60192413,8.944251853,5.216881624,7.853164167,7.93994439,5.443506026,-1.156605162,7.391785093,4.110362128,Case
8.928277706,6.107009557,8.292201002,8.128246491,14.86997987,7.637863781,3.126853928,8.893565362,8.42400072,6.737490438,11.62964322,6.987380338,6.257004262,8.292201002,10.46625613,10.97007315,5.231355014,8.511922474,2.687529484,Case
9.814450592,5.66341455,7.934189361,8.826043508,15.29360555,7.849542481,5.408729092,9.575869069,8.210042246,3.524524562,11.54624996,7.955460927,5.84803263,7.934189361,9.923742071,7.872915851,3.50638972,8.871088972,4.409523411,Case
8.615053948,6.350226431,7.99138041,8.579211052,14.7856719,8.787367088,2.874348228,10.70788214,6.232791682,5.433335486,11.79706825,6.976523613,5.624247936,7.99138041,8.748172579,6.21461933,5.335862046,6.715785885,4.965412977,Case
7.043670692,5.825735766,7.523304705,6.62978512,14.85768454,8.018145671,1.033240223,8.440462093,4.213511742,3.816817107,12.28644092,5.397283953,5.004827402,7.523304705,10.83409823,8.669063516,4.771226551,8.722971863,4.965901386,Case
9.020290007,3.859368245,6.455789546,8.73205388,15.72304118,8.014445018,3.945480171,9.628689478,6.415449253,4.173937348,12.63116717,7.935906385,6.439476251,6.455789546,10.73218148,7.394204826,3.892752597,8.140129799,4.436058176,Case
9.229370866,2.867879491,7.762640185,9.558772636,15.18314608,6.127000346,4.131792781,9.587158384,7.368090095,2.41673109,11.60610339,7.846414446,4.442558777,7.762640185,9.890557254,10.67350733,4.710459967,8.690716255,2.054766233,Case
9.960546888,3.876055642,8.070608778,6.295943475,13.95046518,10.24553006,4.924511339,10.07462632,8.553867168,5.161389322,11.669467,8.582327716,6.897982716,8.070608778,8.74046893,4.481867843,7.027358448,6.387414341,6.949310419,Case
9.498556734,3.952374757,7.948998494,7.354644084,15.08478093,5.48536979,3.75492854,8.810430086,6.846548687,3.469775896,12.04115088,7.31876224,6.136809263,7.948998494,10.40818851,8.790031955,5.203587367,8.460132355,0.680668962,Case
10.00648237,5.104264906,7.603288647,5.696841635,14.84513406,6.236703185,3.929768028,9.081386564,7.434867036,4.426294471,11.75436236,7.782390908,6.185170952,7.603288647,9.487892915,9.019910652,4.971419785,7.837611046,2.178845511,Case
10.33506681,5.886192399,9.710183453,9.391348364,14.44853215,10.24876475,4.841794843,8.965183036,8.658365474,3.225637338,11.40424135,7.823315797,6.037275425,9.710183453,7.967072697,6.488485271,3.117950727,8.057807963,6.450459291,Case
9.14515107,4.216179705,8.650162049,7.860524332,14.7738386,7.114537449,2.797009583,9.646302447,7.267732014,1.454374965,11.94723817,7.452726576,5.863041514,8.650162049,10.08672677,10.72360685,2.119756171,8.469391837,1.693858206,Case
7.701341848,3.366220694,7.277663337,6.180434303,14.75784175,4.807878515,2.965734162,8.632835614,6.817529518,-1.229368429,11.62132628,6.774381913,4.84620613,7.277663337,9.87037244,10.42065776,1.67569385,9.104201058,0.438281459,Case
8.881599418,6.849733687,7.520049765,8.053269469,15.74932357,6.82454108,4.361105655,9.195026651,6.567407122,5.180176747,12.56054059,6.182184387,5.903283389,7.520049765,9.373253034,8.137957888,3.940407684,7.474987345,5.772427292,Case
10.554544,5.820546017,9.371546109,7.325961539,14.52069493,7.686010876,5.483202104,8.315011317,8.698234159,3.131120925,11.63417543,8.135532414,6.402448701,9.371546109,9.408835132,7.646365992,4.453402206,8.343100837,4.879032961,Case
9.673386127,4.613491482,9.325270712,8.724136638,14.64154755,9.496811197,4.340012071,8.577717537,7.588303213,3.37602935,11.65933641,6.821748444,6.062086096,9.325270712,8.628457647,9.168761668,3.405171806,8.021377791,3.217759323,Case
8.195932625,4.790000094,6.70635213,6.01932862,14.14407136,4.403454867,-0.279245403,8.120189199,5.715509617,6.803871971,12.08699245,6.498851375,5.089753877,6.70635213,13.11281914,13.79390666,6.356038435,7.979495741,0.493071603,Case
8.656851385,5.369715969,7.67036045,8.271488084,16.29753212,7.00029995,2.088813865,9.238227895,6.18964152,5.065274739,12.9149107,7.23287703,4.945725064,7.67036045,9.521546554,10.7805192,5.098804137,8.306124796,4.207830404,Case
10.31807948,2.847528244,7.206467502,6.326668337,14.90076315,6.61635569,5.352864698,9.855314872,8.600540133,5.490329806,11.60180744,8.335765004,6.572805028,7.206467502,9.395440485,5.479285045,5.547479058,5.546103576,3.235702508,Case
7.309730454,8.612703255,11.58783018,12.30057827,14.2158429,10.36551757,2.302224057,7.183106015,5.393496114,3.281803658,11.42618686,1.506065907,4.211538662,11.58783018,10.52474503,7.762494168,-1.546640386,9.523569851,4.423329439,Case
7.751214878,6.643921009,10.03637088,10.32609317,14.85016872,7.516190181,1.417742342,6.868793283,5.961963236,5.609260094,11.71341457,3.862750062,3.101215898,10.03637088,9.681709036,9.658964001,-2.11911434,9.955768997,-3.305216432,Case
9.400420629,4.616696551,6.431386221,6.474659123,14.80534005,7.301119698,4.466164256,8.937921392,7.71191091,3.287988607,12.42078868,8.402730773,4.712465613,6.431386221,9.948040462,7.501606336,5.860495225,7.196181836,2.654460902,Case
9.854510159,3.636005884,8.312066474,7.87017953,14.83269211,7.077034477,4.46443378,10.33500413,8.274944484,6.187940779,11.90028826,8.083833224,5.556218131,8.312066474,9.846035592,7.037978731,4.25006864,7.96223166,2.831985901,Case
9.878553215,5.619735718,7.850901454,8.078087269,14.92142342,7.987621663,4.997388314,10.00061601,7.60546148,5.281363829,12.40075537,8.165853338,5.797952236,7.850901454,10.5259592,8.48869303,4.96744268,8.281395827,3.238851282,Case
10.0269671,4.095199579,6.261260327,9.267873866,15.40430322,8.600101133,4.357588446,8.818055748,7.897496067,6.240407907,12.30106709,8.893049715,5.384892186,6.261260327,10.52294344,10.75446447,4.296185133,8.483226596,4.328690927,Case
8.687334214,5.162586765,8.578001198,7.106629717,15.20079769,6.721563692,3.933836935,9.74180908,6.740074195,5.741876777,12.28278158,7.081183397,5.539260977,8.578001198,9.167104567,7.445552405,4.312180418,7.787203261,3.94319263,Case
11.70978456,-0.95111828,5.922908346,3.385784406,15.63108903,5.51415096,5.831784448,9.658497738,8.608483746,6.975533997,13.67770502,8.967874977,7.756162234,5.922908346,10.28986885,7.039356873,7.143486616,6.319090453,2.436295415,Case
8.483536121,5.777194919,8.604216703,5.874313085,14.50404191,7.766354759,0.046265984,8.265232659,5.241761623,3.501056927,13.1462115,6.069082427,5.333909466,8.604216703,10.37626581,9.975659387,5.486707938,7.737266728,5.195982476,Case
10.1528365,1.965388495,5.789625034,5.480346511,16.43655519,5.477743225,5.322248124,8.768792132,8.113148337,8.513312453,14.14222017,9.008240848,6.362463863,5.789625034,10.76308024,8.139390357,5.155744799,7.66426946,1.665188173,Case
8.301913737,6.175433387,7.91445352,8.213996904,14.96870988,8.508694797,1.743144775,9.782026357,6.065126815,3.430114983,12.16145119,6.892052839,5.405638687,7.91445352,9.923660809,8.201194753,3.701957001,8.250378964,6.149323581,Case
9.195897795,6.184351471,8.876098333,7.950030234,15.06555509,8.366725427,3.60769587,8.639819871,6.547719094,6.856090916,12.63061547,7.3610136,5.645650173,8.876098333,10.05392045,6.401432192,4.175229346,7.74339903,5.917680964,Case
10.75416505,2.437507065,8.37634856,6.548892444,14.98849584,5.71491809,6.647726506,10.11387035,8.804954571,3.898096969,11.52050856,8.946164171,6.531421306,8.37634856,9.14610878,7.861236196,5.225281705,5.243012538,1.829132639,Case
9.983591924,4.931802603,8.416915953,9.533881824,14.84308463,8.661652139,4.593897373,7.527477356,7.994601247,0.711648387,12.11199702,7.731365529,6.137967105,8.416915953,9.153407708,6.962366874,2.842616424,8.053807064,5.93244145,Case
10.45130098,3.127526497,7.001299377,5.956034175,14.64569038,7.804527758,4.918686475,8.418562371,7.995214641,4.660729531,12.0576744,6.794716392,6.900234938,7.001299377,9.910708327,6.829512994,4.902052785,7.768263512,2.69757198,Case
10.72009948,2.176019271,5.951970378,9.531370968,15.02431104,8.816570236,6.658540769,9.107769604,8.713744262,5.536075358,11.79950368,9.180090585,6.296136236,5.951970378,9.721629152,8.474906856,3.850245378,7.011832148,5.17174382,Case
10.37428467,3.045105101,7.57803857,8.4651957,15.0304981,6.723720936,6.155210724,9.23978647,8.932251757,4.901044573,12.21843864,9.170445249,6.692515005,7.57803857,10.45742655,9.11993679,3.419349108,7.51230108,-1.167363071,Case
10.80853915,4.263502672,6.661208865,8.610071227,14.62418628,8.737684356,5.808157231,8.976463924,8.322319227,5.162717895,12.45078404,8.700728479,7.132458734,6.661208865,9.622312155,8.776921202,5.636075389,6.974686682,5.14854241,Case
8.24081643,5.810132473,6.808807141,11.24770673,14.42101026,9.330653575,1.8984693,8.235240381,7.795104767,5.378319189,11.81583819,6.999900029,5.280546014,6.808807141,10.35853121,9.463437339,3.821352257,9.715599321,-2.469916991,Case
9.809932511,4.281478086,9.226994512,7.430917768,13.91103123,6.152172507,4.018981952,8.664556579,8.82670415,4.647996538,11.71247801,8.971963528,6.402717643,9.226994512,8.951408508,6.630459396,5.886506861,8.397971033,1.478645835,Case
8.920893343,6.52807136,10.11333493,10.62484716,14.41047796,9.984364356,2.522537401,7.486569157,7.811976688,3.94280314,11.58917931,7.589397327,5.754504925,10.11333493,9.885355709,7.541424249,3.068237642,8.82654445,6.262161961,Case
9.324284837,6.951519681,10.71008313,11.23934425,14.46117963,10.89433018,2.762199524,7.556618909,8.212061486,4.992421332,11.89874031,7.231450082,6.215241983,10.71008313,9.586545329,7.986691055,1.507444395,7.640419372,7.144246536,Case
9.530337793,3.804464592,9.171066958,6.960944104,15.12501214,9.051437312,5.774668533,9.694969628,9.077231418,5.821116722,11.91277561,8.840129264,6.829110465,9.171066958,9.945895014,4.001365074,5.945678431,6.934436456,5.10628594,Case
11.06579969,0.474673728,6.72318803,6.799612423,15.13064013,7.195494662,7.95994872,9.456754464,9.111689342,3.744364083,12.32726133,9.601076324,6.561937012,6.72318803,10.52161832,10.86619693,5.107218319,7.206167382,3.009548572,Case
9.303720786,3.647157125,3.824861814,9.156032605,14.47239872,9.055110172,3.843072782,8.399603701,7.72722005,3.03922579,11.38851467,7.271136772,5.979296637,3.824861814,10.10012035,9.948584351,3.670514608,9.003199798,6.763141306,Case
9.154770791,6.035069736,9.972067801,9.601774145,13.54821126,10.01043504,2.585981253,7.972176352,8.977222225,4.037596535,11.15865352,7.184194418,6.192321314,9.972067801,8.290338076,6.662902485,4.782729414,8.902696287,6.728454463,Case
8.49335169,6.197286812,9.625109943,9.987431764,14.39722111,9.331113144,2.465234103,7.879683264,7.686391565,3.982787381,11.56891932,7.096379865,6.131256315,9.625109943,10.115684,8.687485173,3.452811179,8.762180169,4.86863053,Case
9.636572175,5.631323138,8.642000341,7.853557867,14.57370456,6.856521315,3.291633674,8.329976742,6.802939162,4.696899291,12.3454766,7.428364455,5.771530307,8.642000341,9.554967222,10.4063954,4.232011394,7.156604957,3.76610441,Case
10.0312117,5.944031605,9.727877693,9.385469277,14.1399791,10.37934386,4.898273136,7.690902283,8.522327675,3.858179379,11.38497168,7.713782468,6.608257746,9.727877693,8.040438811,6.38030255,3.861791321,7.186429404,8.231084999,Case
9.708077608,2.337137402,7.120260947,7.283148818,14.76929163,7.635660193,3.480546287,7.738709353,7.46198176,5.298997017,11.89277852,7.913357031,5.480329592,7.120260947,9.083982976,7.769353444,4.765640796,7.69080531,4.350920215,Case
10.06693927,3.825409467,7.932373131,6.505969134,14.9258851,7.219024652,5.03236376,7.102337841,7.807792392,4.85454694,11.73958606,7.798410943,5.986717945,7.932373131,8.813835429,8.560297495,4.20221318,7.4248923,5.321189639,Case
9.783902501,4.406103455,7.732130475,8.723965635,14.86508322,7.581837459,4.857950893,9.74525312,8.482754128,3.930324507,11.28545971,8.345593619,4.754700065,7.732130475,9.394111087,8.64674155,3.81152985,8.12263831,4.840183082,Case
10.05090214,3.584087085,8.03041202,5.077839875,14.7547451,3.441273935,4.887820083,8.56661706,8.073983086,2.510189669,11.89605955,8.190020016,5.878410622,8.03041202,9.519880134,10.57669388,4.333061362,7.57698457,-0.680311547,Case
